id,slug,display_name,category,subcategory,priority,status,entity_type,fsm_states,required_kyc_tier,requires_frsc,requires_cac,requires_it,requires_community,requires_social,package_name,milestone_target,notes
vtx_politician,politician,Individual Politician,politics,elected-office,1,planned,individual,"[""seeded"",""claimed"",""candidate"",""elected"",""in_office"",""post_office""]",2,0,0,0,1,1,packages/verticals-politician,M8b,"7 offices Councilor→President; politics tables ready M2 — DIFFERENTIATE: generic individual politician page; use role-specific templates for governor (governor-official-site), senator (senator-official-site), house-of-reps-member, lga-chairman, house-of-assembly-member, presidential-candidate, ward-councillor, deputy-governor, assembly-speaker, lga-vice-chairman"
vtx_political_party,political-party,Political Party,politics,party-organization,1,planned,organization,"[""seeded"",""claimed"",""registered"",""active""]",2,0,1,0,1,1,packages/verticals-political-party,M8b,Party as Organization subtype; party affiliation relationships — DIFFERENTIATE: party as organisation entity; use party-chapter-officer-official-site (ward/LGA chapter officers) or party-state-officer-official-site (state party officers) for individual party officer identity pages
vtx_motor_park,motor-park,Motor Park / Bus Terminal,transport,park-facility,1,planned,place,"[""seeded"",""claimed"",""frsc_verified"",""active"",""suspended""]",2,1,1,0,0,0,packages/verticals-motor-park,M8c,Geography Facility Place; FRSC operator verification; NURTW context
vtx_transit,mass-transit,City Bus / Mass Transit Operator,transport,public-transit,1,planned,organization,"[""seeded"",""claimed"",""frsc_verified"",""route_licensed"",""active""]",2,1,1,0,0,0,packages/verticals-transit,M8c,Route licensing fields; FRSC fleet verification; scheduled services
vtx_rideshare,rideshare,Carpooling / Ride-Hailing,transport,ride-services,1,planned,organization,"[""seeded"",""claimed"",""frsc_verified"",""drivers_enrolled"",""active""]",2,1,1,0,0,0,packages/verticals-rideshare,M8c,offerings.route; driver KYC; real-time seat offerings
vtx_haulage,haulage,Haulage / Logistics Operator,transport,freight,1,planned,organization,"[""seeded"",""claimed"",""frsc_verified"",""cac_verified"",""active""]",3,1,1,0,0,0,packages/verticals-haulage,M8c,FRSC fleet + CAC business; route-based offerings
vtx_church,church,Church / Faith Community,civic,religious,1,planned,organization,"[""seeded"",""claimed"",""it_verified"",""community_active"",""active""]",1,0,0,1,1,1,packages/verticals-church,M8d,IT-XXXXXXXX registration; community_spaces; courses; events
vtx_ngo,ngo,NGO / Non-Profit Organization,civic,nonprofit,1,planned,organization,"[""seeded"",""claimed"",""it_verified"",""programs_active"",""active""]",1,0,0,1,1,0,packages/verticals-ngo,M8d,IT-XXXXXXXX; membership_tiers; donor management
vtx_cooperative,cooperative,Cooperative Society,civic,cooperative,1,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""members_enrolled"",""active""]",2,0,1,0,1,0,packages/verticals-cooperative,M8d,Savings cycles; loan requests; member voting
vtx_pos_business,pos-business,POS Business Management System,commerce,business-mgmt,1,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""inventory_setup"",""active""]",1,0,1,0,0,0,packages/verticals-pos-business,M8b,Inventory+CRM+scheduling+staff — NOT money transfer; separate from agent pos infra
vtx_market,market,Market / Trading Hub,place,marketplace,1,planned,place,"[""seeded"",""claimed"",""vendors_enrolled"",""active""]",1,0,0,0,0,0,packages/verticals-market,M8e,Multi-vendor; stall assignments; market association
vtx_professional,professional,Professional (Lawyer/Doctor/Accountant),professional,licensed-professional,1,planned,individual,"[""seeded"",""claimed"",""license_verified"",""active""]",2,0,0,0,0,1,packages/verticals-professional,M8e,License body verification; appointment booking; ratings
vtx_school,school,School / Educational Institution,education,formal-school,1,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""courses_published"",""active""]",1,0,1,0,1,0,packages/verticals-school,M8e,community_courses reuse; enrollment; results management
vtx_clinic,clinic,Clinic / Healthcare Facility,health,primary-care,1,planned,organization,"[""seeded"",""claimed"",""license_verified"",""active""]",2,0,1,0,0,0,packages/verticals-clinic,M8e,MDCN/NAFDAC license verification; appointment scheduling
vtx_creator,creator,Creator / Influencer,creator,digital-creator,1,planned,individual,"[""seeded"",""claimed"",""social_active"",""monetization_enabled"",""active""]",1,0,0,0,1,1,packages/verticals-creator,M8e,Social network + community as creator tools; paid tiers
vtx_sole_trader,sole-trader,Sole Trader / Artisan,commerce,micro-business,1,planned,individual,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,1,packages/verticals-sole-trader,M8e,Nigeria informal economy core; WhatsApp catalogue
vtx_hub,tech-hub,Tech Hub / Innovation Centre,place,hub,1,planned,place,"[""seeded"",""claimed"",""members_enrolled"",""active""]",1,0,0,0,1,0,packages/verticals-tech-hub,M8e,Innovation hubs; coworking; startup residence
vtx_restaurant,restaurant,Restaurant / Eatery / Buka,commerce,food-service,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,1,0,0,0,packages/verticals-restaurant,M9,Menu management; table reservations; delivery integration
vtx_hotel,hotel,Hotel / Guesthouse / Shortlet,commerce,hospitality,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,1,0,0,0,packages/verticals-hotel,M9,Room inventory; booking calendar; Airbnb-style shortlet
vtx_supermarket,supermarket,Supermarket / Grocery Store,commerce,retail,2,planned,organization,"[""seeded"",""claimed"",""inventory_setup"",""active""]",1,0,1,0,0,0,packages/verticals-supermarket,M9,Product catalog; stock management; delivery
vtx_pharmacy,pharmacy,Pharmacy / Drug Store,health,retail-pharmacy,2,planned,organization,"[""seeded"",""claimed"",""nafdac_verified"",""active""]",2,0,1,0,0,0,packages/verticals-pharmacy,M9,NAFDAC regulation; prescription management; stock
vtx_beauty_salon,beauty-salon,Beauty Salon / Barber Shop,commerce,personal-care,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-beauty-salon,M9,Appointment booking; stylist scheduling; loyalty
vtx_laundry,laundry,Laundry / Dry Cleaner,commerce,cleaning-services,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,0,packages/verticals-laundry,M9,Order tracking; pickup/delivery; pricing tiers
vtx_auto_mechanic,auto-mechanic,Auto Mechanic / Garage,commerce,auto-services,2,planned,organization,"[""seeded"",""claimed"",""active""]",1,0,1,0,0,0,packages/verticals-auto-mechanic,M9,Job cards; parts inventory; vehicle history
vtx_fuel_station,fuel-station,Fuel Station / Filling Station,commerce,energy-retail,2,planned,place,"[""seeded"",""claimed"",""dpra_verified"",""active""]",2,0,1,0,0,0,packages/verticals-fuel-station,M9,DPR license; pump management; queue management
vtx_tailor,tailor,Tailoring / Fashion Designer,commerce,fashion,2,planned,individual,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,1,packages/verticals-tailor,M9,Order/measurement management; delivery tracking
vtx_event_hall,event-hall,Event Hall / Venue,place,events,2,planned,place,"[""seeded"",""claimed"",""active""]",1,0,1,0,0,0,packages/verticals-event-hall,M9,Booking calendar; capacity management; catering coordination
vtx_event_planner,event-planner,Event Planner / MC,professional,events,2,planned,individual,"[""seeded"",""claimed"",""active""]",1,0,0,0,0,1,packages/verticals-event-planner,M9,Portfolio; booking; vendor coordination
vtx_security_co,security-company,Security Company / Guard Service,commerce,security,2,planned,organization,"[""seeded"",""claimed"",""cac_verified"",""active""]",2,0,1,0,0,0,packages/verticals-security-company,M9,Guard roster; patrol schedules; client contracts
